District,Urban/Rural,Age_years,Male,Female,Total,County,Province,OBJECTID
CHALBI,Rural,10,1485,1442,2927,Marsabit,EASTERN,15344
CHALBI,Rural,11,802,816,1618,Marsabit,EASTERN,15345
CHALBI,Rural,12,1387,1084,2471,Marsabit,EASTERN,15346
CHALBI,Rural,13,1003,835,1838,Marsabit,EASTERN,15347
CHALBI,Rural,14,1087,885,1972,Marsabit,EASTERN,15348
CHALBI,Rural,15,1317,1042,2359,Marsabit,EASTERN,15349
CHALBI,Rural,16,891,781,1672,Marsabit,EASTERN,15350
CHALBI,Rural,17,829,615,1444,Marsabit,EASTERN,15351
CHALBI,Rural,18,1194,926,2120,Marsabit,EASTERN,15352
CHALBI,Rural,19,782,628,1410,Marsabit,EASTERN,15353
CHALBI,Rural,20,1433,1120,2553,Marsabit,EASTERN,15354
CHALBI,Rural,21,587,495,1082,Marsabit,EASTERN,15355
CHALBI,Rural,22,819,592,1411,Marsabit,EASTERN,15356
CHALBI,Rural,23,639,426,1065,Marsabit,EASTERN,15357
CHALBI,Rural,24,664,508,1172,Marsabit,EASTERN,15358
CHALBI,Rural,25,832,576,1408,Marsabit,EASTERN,15359
CHALBI,Rural,26,640,460,1100,Marsabit,EASTERN,15360
CHALBI,Rural,27,527,359,886,Marsabit,EASTERN,15361
CHALBI,Rural,28,665,524,1189,Marsabit,EASTERN,15362
CHALBI,Rural,29,389,322,711,Marsabit,EASTERN,15363
CHALBI,Rural,30,1279,932,2211,Marsabit,EASTERN,15364
CHALBI,Rural,31,319,255,574,Marsabit,EASTERN,15365
CHALBI,Rural,32,517,366,883,Marsabit,EASTERN,15366
CHALBI,Rural,33,306,226,532,Marsabit,EASTERN,15367
CHALBI,Rural,34,257,203,460,Marsabit,EASTERN,15368
CHALBI,Rural,35,615,368,983,Marsabit,EASTERN,15369
CHALBI,Rural,36,347,306,653,Marsabit,EASTERN,15370
CHALBI,Rural,37,247,179,426,Marsabit,EASTERN,15371
CHALBI,Rural,38,388,313,701,Marsabit,EASTERN,15372
CHALBI,Rural,39,253,206,459,Marsabit,EASTERN,15373
CHALBI,Rural,40,968,725,1693,Marsabit,EASTERN,15374
CHALBI,Rural,41,174,115,289,Marsabit,EASTERN,15375
CHALBI,Rural,42,330,254,584,Marsabit,EASTERN,15376
CHALBI,Rural,43,159,147,306,Marsabit,EASTERN,15377
CHALBI,Rural,44,122,113,235,Marsabit,EASTERN,15378
CHALBI,Rural,45,412,311,723,Marsabit,EASTERN,15379
CHALBI,Rural,46,212,141,353,Marsabit,EASTERN,15380
CHALBI,Rural,47,188,129,317,Marsabit,EASTERN,15381
CHALBI,Rural,48,245,178,423,Marsabit,EASTERN,15382
CHALBI,Rural,49,167,128,295,Marsabit,EASTERN,15383
CHALBI,Rural,50,714,617,1331,Marsabit,EASTERN,15384
CHALBI,Rural,51,138,104,242,Marsabit,EASTERN,15385
CHALBI,Rural,52,235,137,372,Marsabit,EASTERN,15386
CHALBI,Rural,53,115,80,195,Marsabit,EASTERN,15387
CHALBI,Rural,54,141,92,233,Marsabit,EASTERN,15388
CHALBI,Rural,55,269,155,424,Marsabit,EASTERN,15389
CHALBI,Rural,56,179,92,271,Marsabit,EASTERN,15390
CHALBI,Rural,57,127,80,207,Marsabit,EASTERN,15391
CHALBI,Rural,58,145,98,243,Marsabit,EASTERN,15392
CHALBI,Rural,59,80,72,152,Marsabit,EASTERN,15393
CHALBI,Rural,60,557,455,1012,Marsabit,EASTERN,15394
CHALBI,Rural,61,80,50,130,Marsabit,EASTERN,15395
CHALBI,Rural,62,102,92,194,Marsabit,EASTERN,15396
CHALBI,Rural,63,84,39,123,Marsabit,EASTERN,15397
CHALBI,Rural,64,80,59,139,Marsabit,EASTERN,15398
CHALBI,Rural,65,207,138,345,Marsabit,EASTERN,15399
CHALBI,Rural,66,70,33,103,Marsabit,EASTERN,15400
CHALBI,Rural,67,84,58,142,Marsabit,EASTERN,15401
CHALBI,Rural,68,84,60,144,Marsabit,EASTERN,15402
CHALBI,Rural,69,50,36,86,Marsabit,EASTERN,15403
CHALBI,Rural,70,500,353,853,Marsabit,EASTERN,15404
CHALBI,Rural,71,53,34,87,Marsabit,EASTERN,15405
CHALBI,Rural,72,97,57,154,Marsabit,EASTERN,15406
CHALBI,Rural,73,43,39,82,Marsabit,EASTERN,15407
CHALBI,Rural,74,49,30,79,Marsabit,EASTERN,15408
CHALBI,Rural,75,110,90,200,Marsabit,EASTERN,15409
CHALBI,Rural,76,36,29,65,Marsabit,EASTERN,15410
CHALBI,Rural,77,40,27,67,Marsabit,EASTERN,15411
CHALBI,Rural,78,39,37,76,Marsabit,EASTERN,15412
CHALBI,Rural,79,15,18,33,Marsabit,EASTERN,15413
CHALBI,Rural,80+,721,648,1369,Marsabit,EASTERN,15414
CHALBI,Rural,Age NS,23,14,37,Marsabit,EASTERN,15415
LAISAMIS,Rural,0,1009,989,1998,Marsabit,EASTERN,15416
LAISAMIS,Rural,1,1031,907,1938,Marsabit,EASTERN,15417
LAISAMIS,Rural,2,1426,1315,2741,Marsabit,EASTERN,15418
LAISAMIS,Rural,3,1194,1180,2374,Marsabit,EASTERN,15419
LAISAMIS,Rural,4,1246,1229,2475,Marsabit,EASTERN,15420
LAISAMIS,Rural,5,1183,1223,2406,Marsabit,EASTERN,15421
LAISAMIS,Rural,6,1128,1069,2197,Marsabit,EASTERN,15422
LAISAMIS,Rural,7,907,902,1809,Marsabit,EASTERN,15423
LAISAMIS,Rural,8,962,989,1951,Marsabit,EASTERN,15424
LAISAMIS,Rural,9,759,736,1495,Marsabit,EASTERN,15425
LAISAMIS,Rural,10,1155,1144,2299,Marsabit,EASTERN,15426
LAISAMIS,Rural,11,520,584,1104,Marsabit,EASTERN,15427
LAISAMIS,Rural,12,958,898,1856,Marsabit,EASTERN,15428
LAISAMIS,Rural,13,666,611,1277,Marsabit,EASTERN,15429
LAISAMIS,Rural,14,690,625,1315,Marsabit,EASTERN,15430
LAISAMIS,Rural,15,800,753,1553,Marsabit,EASTERN,15431
LAISAMIS,Rural,16,638,632,1270,Marsabit,EASTERN,15432
LAISAMIS,Rural,17,565,465,1030,Marsabit,EASTERN,15433
LAISAMIS,Rural,18,735,647,1382,Marsabit,EASTERN,15434
LAISAMIS,Rural,19,445,410,855,Marsabit,EASTERN,15435
LAISAMIS,Rural,20,806,793,1599,Marsabit,EASTERN,15436
LAISAMIS,Rural,21,379,407,786,Marsabit,EASTERN,15437
LAISAMIS,Rural,22,438,479,917,Marsabit,EASTERN,15438
LAISAMIS,Rural,23,393,435,828,Marsabit,EASTERN,15439
LAISAMIS,Rural,24,447,538,985,Marsabit,EASTERN,15440
LAISAMIS,Rural,25,519,601,1120,Marsabit,EASTERN,15441
LAISAMIS,Rural,26,439,446,885,Marsabit,EASTERN,15442
LAISAMIS,Rural,27,299,308,607,Marsabit,EASTERN,15443
LAISAMIS,Rural,28,370,520,890,Marsabit,EASTERN,15444
LAISAMIS,Rural,29,223,213,436,Marsabit,EASTERN,15445
LAISAMIS,Rural,30,503,655,1158,Marsabit,EASTERN,15446
LAISAMIS,Rural,31,237,203,440,Marsabit,EASTERN,15447
LAISAMIS,Rural,32,325,341,666,Marsabit,EASTERN,15448
LAISAMIS,Rural,33,151,195,346,Marsabit,EASTERN,15449
LAISAMIS,Rural,34,190,172,362,Marsabit,EASTERN,15450
LAISAMIS,Rural,35,376,410,786,Marsabit,EASTERN,15451
LAISAMIS,Rural,36,225,355,580,Marsabit,EASTERN,15452
LAISAMIS,Rural,37,126,186,312,Marsabit,EASTERN,15453
LAISAMIS,Rural,38,188,295,483,Marsabit,EASTERN,15454
LAISAMIS,Rural,39,115,195,310,Marsabit,EASTERN,15455
LAISAMIS,Rural,40,334,467,801,Marsabit,EASTERN,15456
LAISAMIS,Rural,41,103,154,257,Marsabit,EASTERN,15457
LAISAMIS,Rural,42,214,172,386,Marsabit,EASTERN,15458
LAISAMIS,Rural,43,120,112,232,Marsabit,EASTERN,15459
LAISAMIS,Rural,44,76,110,186,Marsabit,EASTERN,15460
LAISAMIS,Rural,45,230,241,471,Marsabit,EASTERN,15461
LAISAMIS,Rural,46,142,148,290,Marsabit,EASTERN,15462
LAISAMIS,Rural,47,100,126,226,Marsabit,EASTERN,15463
LAISAMIS,Rural,48,206,191,397,Marsabit,EASTERN,15464
LAISAMIS,Rural,49,112,144,256,Marsabit,EASTERN,15465
LAISAMIS,Rural,50,293,315,608,Marsabit,EASTERN,15466
LAISAMIS,Rural,51,76,82,158,Marsabit,EASTERN,15467
LAISAMIS,Rural,52,108,158,266,Marsabit,EASTERN,15468
LAISAMIS,Rural,53,102,84,186,Marsabit,EASTERN,15469
LAISAMIS,Rural,54,79,96,175,Marsabit,EASTERN,15470
LAISAMIS,Rural,55,107,138,245,Marsabit,EASTERN,15471
LAISAMIS,Rural,56,97,132,229,Marsabit,EASTERN,15472
LAISAMIS,Rural,57,76,68,144,Marsabit,EASTERN,15473
LAISAMIS,Rural,58,117,99,216,Marsabit,EASTERN,15474
LAISAMIS,Rural,59,82,98,180,Marsabit,EASTERN,15475
LAISAMIS,Rural,60,194,274,468,Marsabit,EASTERN,15476
LAISAMIS,Rural,61,64,76,140,Marsabit,EASTERN,15477
LAISAMIS,Rural,62,57,84,141,Marsabit,EASTERN,15478
LAISAMIS,Rural,63,50,50,100,Marsabit,EASTERN,15479
LAISAMIS,Rural,64,70,65,135,Marsabit,EASTERN,15480
LAISAMIS,Rural,65,114,112,226,Marsabit,EASTERN,15481
LAISAMIS,Rural,66,33,34,67,Marsabit,EASTERN,15482
LAISAMIS,Rural,67,46,45,91,Marsabit,EASTERN,15483
LAISAMIS,Rural,68,51,65,116,Marsabit,EASTERN,15484
LAISAMIS,Rural,69,54,54,108,Marsabit,EASTERN,15485
LAISAMIS,Rural,70,139,193,332,Marsabit,EASTERN,15486
LAISAMIS,Rural,71,25,33,58,Marsabit,EASTERN,15487
LAISAMIS,Rural,72,61,55,116,Marsabit,EASTERN,15488
LAISAMIS,Rural,73,33,35,68,Marsabit,EASTERN,15489
LAISAMIS,Rural,74,44,34,78,Marsabit,EASTERN,15490
LAISAMIS,Rural,75,64,64,128,Marsabit,EASTERN,15491
LAISAMIS,Rural,76,27,35,62,Marsabit,EASTERN,15492
LAISAMIS,Rural,77,23,16,39,Marsabit,EASTERN,15493
LAISAMIS,Rural,78,41,44,85,Marsabit,EASTERN,15494
LAISAMIS,Rural,79,28,33,61,Marsabit,EASTERN,15495
LAISAMIS,Rural,80+,326,375,701,Marsabit,EASTERN,15496
LAISAMIS,Rural,Age NS,4,5,9,Marsabit,EASTERN,15497
MOYALE,Rural,0,743,684,1427,Marsabit,EASTERN,15498
MOYALE,Rural,1,621,603,1224,Marsabit,EASTERN,15499
MOYALE,Rural,2,1268,1168,2436,Marsabit,EASTERN,15500
MOYALE,Rural,3,943,952,1895,Marsabit,EASTERN,15501
MOYALE,Rural,4,1320,1265,2585,Marsabit,EASTERN,15502
MOYALE,Rural,5,1016,945,1961,Marsabit,EASTERN,15503
MOYALE,Rural,6,1463,1305,2768,Marsabit,EASTERN,15504
MOYALE,Rural,7,938,909,1847,Marsabit,EASTERN,15505
MOYALE,Rural,8,1587,1427,3014,Marsabit,EASTERN,15506
MOYALE,Rural,9,801,681,1482,Marsabit,EASTERN,15507
MOYALE,Rural,10,1673,1461,3134,Marsabit,EASTERN,15508
MOYALE,Rural,11,574,531,1105,Marsabit,EASTERN,15509
MOYALE,Rural,12,1440,1203,2643,Marsabit,EASTERN,15510
MOYALE,Rural,13,812,632,1444,Marsabit,EASTERN,15511
MOYALE,Rural,14,1071,855,1926,Marsabit,EASTERN,15512
MOYALE,Rural,15,1128,856,1984,Marsabit,EASTERN,15513
MOYALE,Rural,16,1120,754,1874,Marsabit,EASTERN,15514
MOYALE,Rural,17,687,425,1112,Marsabit,EASTERN,15515
MOYALE,Rural,18,1340,881,2221,Marsabit,EASTERN,15516
MOYALE,Rural,19,420,310,730,Marsabit,EASTERN,15517
MOYALE,Rural,20,1248,994,2242,Marsabit,EASTERN,15518
MOYALE,Rural,21,318,186,504,Marsabit,EASTERN,15519
MOYALE,Rural,22,462,375,837,Marsabit,EASTERN,15520
MOYALE,Rural,23,261,216,477,Marsabit,EASTERN,15521
MOYALE,Rural,24,341,282,623,Marsabit,EASTERN,15522
MOYALE,Rural,25,647,767,1414,Marsabit,EASTERN,15523
MOYALE,Rural,26,255,256,511,Marsabit,EASTERN,15524
MOYALE,Rural,27,245,221,466,Marsabit,EASTERN,15525
MOYALE,Rural,28,376,416,792,Marsabit,EASTERN,15526
MOYALE,Rural,29,146,152,298,Marsabit,EASTERN,15527
MOYALE,Rural,30,927,926,1853,Marsabit,EASTERN,15528
MOYALE,Rural,31,118,108,226,Marsabit,EASTERN,15529
MOYALE,Rural,32,228,191,419,Marsabit,EASTERN,15530
MOYALE,Rural,33,114,127,241,Marsabit,EASTERN,15531
MOYALE,Rural,34,122,133,255,Marsabit,EASTERN,15532
MOYALE,Rural,35,479,572,1051,Marsabit,EASTERN,15533
MOYALE,Rural,36,128,139,267,Marsabit,EASTERN,15534
MOYALE,Rural,37,157,142,299,Marsabit,EASTERN,15535
MOYALE,Rural,38,154,217,371,Marsabit,EASTERN,15536
MOYALE,Rural,39,77,73,150,Marsabit,EASTERN,15537
MOYALE,Rural,40,756,779,1535,Marsabit,EASTERN,15538
MOYALE,Rural,41,78,51,129,Marsabit,EASTERN,15539
MOYALE,Rural,42,174,116,290,Marsabit,EASTERN,15540
MOYALE,Rural,43,92,68,160,Marsabit,EASTERN,15541
MOYALE,Rural,44,67,64,131,Marsabit,EASTERN,15542
MOYALE,Rural,45,318,366,684,Marsabit,EASTERN,15543
MOYALE,Rural,46,102,74,176,Marsabit,EASTERN,15544
MOYALE,Rural,47,107,88,195,Marsabit,EASTERN,15545
MOYALE,Rural,48,141,105,246,Marsabit,EASTERN,15546
MOYALE,Rural,49,55,51,106,Marsabit,EASTERN,15547
MOYALE,Rural,50,599,544,1143,Marsabit,EASTERN,15548
MOYALE,Rural,51,50,29,79,Marsabit,EASTERN,15549
MOYALE,Rural,52,91,82,173,Marsabit,EASTERN,15550
MOYALE,Rural,53,72,27,99,Marsabit,EASTERN,15551
MOYALE,Rural,54,66,47,113,Marsabit,EASTERN,15552
MOYALE,Rural,55,181,173,354,Marsabit,EASTERN,15553
MOYALE,Rural,56,97,50,147,Marsabit,EASTERN,15554
MOYALE,Rural,57,79,39,118,Marsabit,EASTERN,15555
MOYALE,Rural,58,74,49,123,Marsabit,EASTERN,15556
MOYALE,Rural,59,27,21,48,Marsabit,EASTERN,15557
MOYALE,Rural,60,476,342,818,Marsabit,EASTERN,15558
MOYALE,Rural,61,35,25,60,Marsabit,EASTERN,15559
MOYALE,Rural,62,49,26,75,Marsabit,EASTERN,15560
MOYALE,Rural,63,41,12,53,Marsabit,EASTERN,15561
MOYALE,Rural,64,48,19,67,Marsabit,EASTERN,15562
MOYALE,Rural,65,95,84,179,Marsabit,EASTERN,15563
MOYALE,Rural,66,35,11,46,Marsabit,EASTERN,15564
MOYALE,Rural,67,36,20,56,Marsabit,EASTERN,15565
MOYALE,Rural,68,61,24,85,Marsabit,EASTERN,15566
MOYALE,Rural,69,18,9,27,Marsabit,EASTERN,15567
MOYALE,Rural,70,342,299,641,Marsabit,EASTERN,15568
MOYALE,Rural,71,16,9,25,Marsabit,EASTERN,15569
MOYALE,Rural,72,41,20,61,Marsabit,EASTERN,15570
MOYALE,Rural,73,30,12,42,Marsabit,EASTERN,15571
MOYALE,Rural,74,27,11,38,Marsabit,EASTERN,15572
MOYALE,Rural,75,79,44,123,Marsabit,EASTERN,15573
MOYALE,Rural,76,21,16,37,Marsabit,EASTERN,15574
MOYALE,Rural,77,16,8,24,Marsabit,EASTERN,15575
MOYALE,Rural,78,29,23,52,Marsabit,EASTERN,15576
MOYALE,Rural,79,3,3,6,Marsabit,EASTERN,15577
MOYALE,Rural,80+,325,282,607,Marsabit,EASTERN,15578
MOYALE,Rural,Age NS,15,13,28,Marsabit,EASTERN,15579
ISIOLO,Rural,0,898,829,1727,Isiolo,EASTERN,15580
ISIOLO,Rural,1,781,683,1464,Isiolo,EASTERN,15581
ISIOLO,Rural,2,978,858,1836,Isiolo,EASTERN,15582
ISIOLO,Rural,3,972,958,1930,Isiolo,EASTERN,15583
ISIOLO,Rural,4,903,857,1760,Isiolo,EASTERN,15584
ISIOLO,Rural,5,868,882,1750,Isiolo,EASTERN,15585
ISIOLO,Rural,6,757,748,1505,Isiolo,EASTERN,15586
ISIOLO,Rural,7,781,774,1555,Isiolo,EASTERN,15587
ISIOLO,Rural,8,751,708,1459,Isiolo,EASTERN,15588
ISIOLO,Rural,9,632,617,1249,Isiolo,EASTERN,15589
ISIOLO,Rural,10,881,814,1695,Isiolo,EASTERN,15590
ISIOLO,Rural,11,423,464,887,Isiolo,EASTERN,15591
ISIOLO,Rural,12,821,699,1520,Isiolo,EASTERN,15592
ISIOLO,Rural,13,633,630,1263,Isiolo,EASTERN,15593
ISIOLO,Rural,14,549,459,1008,Isiolo,EASTERN,15594
ISIOLO,Rural,15,578,543,1121,Isiolo,EASTERN,15595
ISIOLO,Rural,16,461,430,891,Isiolo,EASTERN,15596
ISIOLO,Rural,17,404,359,763,Isiolo,EASTERN,15597
ISIOLO,Rural,18,542,527,1069,Isiolo,EASTERN,15598
ISIOLO,Rural,19,360,379,739,Isiolo,EASTERN,15599
ISIOLO,Rural,20,556,698,1254,Isiolo,EASTERN,15600
ISIOLO,Rural,21,307,310,617,Isiolo,EASTERN,15601
ISIOLO,Rural,22,441,374,815,Isiolo,EASTERN,15602
ISIOLO,Rural,23,402,298,700,Isiolo,EASTERN,15603
ISIOLO,Rural,24,415,347,762,Isiolo,EASTERN,15604
ISIOLO,Rural,25,598,660,1258,Isiolo,EASTERN,15605
ISIOLO,Rural,26,314,252,566,Isiolo,EASTERN,15606
ISIOLO,Rural,27,298,247,545,Isiolo,EASTERN,15607
ISIOLO,Rural,28,326,306,632,Isiolo,EASTERN,15608
ISIOLO,Rural,29,215,166,381,Isiolo,EASTERN,15609
ISIOLO,Rural,30,481,544,1025,Isiolo,EASTERN,15610
ISIOLO,Rural,31,189,188,377,Isiolo,EASTERN,15611
ISIOLO,Rural,32,266,224,490,Isiolo,EASTERN,15612
ISIOLO,Rural,33,159,124,283,Isiolo,EASTERN,15613
ISIOLO,Rural,34,165,101,266,Isiolo,EASTERN,15614
ISIOLO,Rural,35,407,442,849,Isiolo,EASTERN,15615
ISIOLO,Rural,36,210,149,359,Isiolo,EASTERN,15616
ISIOLO,Rural,37,167,115,282,Isiolo,EASTERN,15617
ISIOLO,Rural,38,194,159,353,Isiolo,EASTERN,15618
ISIOLO,Rural,39,127,87,214,Isiolo,EASTERN,15619
ISIOLO,Rural,40,363,426,789,Isiolo,EASTERN,15620
ISIOLO,Rural,41,70,49,119,Isiolo,EASTERN,15621
ISIOLO,Rural,42,167,123,290,Isiolo,EASTERN,15622
ISIOLO,Rural,43,127,64,191,Isiolo,EASTERN,15623
ISIOLO,Rural,44,88,60,148,Isiolo,EASTERN,15624
ISIOLO,Rural,45,241,238,479,Isiolo,EASTERN,15625
ISIOLO,Rural,46,120,91,211,Isiolo,EASTERN,15626
ISIOLO,Rural,47,96,81,177,Isiolo,EASTERN,15627
ISIOLO,Rural,48,139,136,275,Isiolo,EASTERN,15628
ISIOLO,Rural,49,129,105,234,Isiolo,EASTERN,15629
ISIOLO,Rural,50,297,307,604,Isiolo,EASTERN,15630
ISIOLO,Rural,51,69,59,128,Isiolo,EASTERN,15631
ISIOLO,Rural,52,89,68,157,Isiolo,EASTERN,15632
ISIOLO,Rural,53,88,51,139,Isiolo,EASTERN,15633
ISIOLO,Rural,54,97,73,170,Isiolo,EASTERN,15634
ISIOLO,Rural,55,139,111,250,Isiolo,EASTERN,15635
ISIOLO,Rural,56,83,57,140,Isiolo,EASTERN,15636
ISIOLO,Rural,57,64,54,118,Isiolo,EASTERN,15637
ISIOLO,Rural,58,65,68,133,Isiolo,EASTERN,15638
ISIOLO,Rural,59,54,62,116,Isiolo,EASTERN,15639
ISIOLO,Rural,60,195,223,418,Isiolo,EASTERN,15640
ISIOLO,Rural,61,53,49,102,Isiolo,EASTERN,15641
ISIOLO,Rural,62,46,31,77,Isiolo,EASTERN,15642
ISIOLO,Rural,63,34,24,58,Isiolo,EASTERN,15643
ISIOLO,Rural,64,50,43,93,Isiolo,EASTERN,15644
ISIOLO,Rural,65,86,112,198,Isiolo,EASTERN,15645
ISIOLO,Rural,66,31,10,41,Isiolo,EASTERN,15646
ISIOLO,Rural,67,45,21,66,Isiolo,EASTERN,15647
ISIOLO,Rural,68,35,33,68,Isiolo,EASTERN,15648
ISIOLO,Rural,69,40,41,81,Isiolo,EASTERN,15649
ISIOLO,Rural,70,123,140,263,Isiolo,EASTERN,15650
ISIOLO,Rural,71,20,31,51,Isiolo,EASTERN,15651
ISIOLO,Rural,72,34,30,64,Isiolo,EASTERN,15652
ISIOLO,Rural,73,22,23,45,Isiolo,EASTERN,15653
ISIOLO,Rural,74,23,20,43,Isiolo,EASTERN,15654
ISIOLO,Rural,75,50,33,83,Isiolo,EASTERN,15655
ISIOLO,Rural,76,26,16,42,Isiolo,EASTERN,15656
ISIOLO,Rural,77,13,15,28,Isiolo,EASTERN,15657
ISIOLO,Rural,78,21,25,46,Isiolo,EASTERN,15658
ISIOLO,Rural,79,24,15,39,Isiolo,EASTERN,15659
ISIOLO,Rural,80+,214,307,521,Isiolo,EASTERN,15660
ISIOLO,Rural,Age NS,17,5,22,Isiolo,EASTERN,15661
GARBATULLA,Rural,0,445,451,896,Isiolo,EASTERN,15662
GARBATULLA,Rural,1,473,394,867,Isiolo,EASTERN,15663
GARBATULLA,Rural,2,608,604,1212,Isiolo,EASTERN,15664
GARBATULLA,Rural,3,554,517,1071,Isiolo,EASTERN,15665
GARBATULLA,Rural,4,607,593,1200,Isiolo,EASTERN,15666
GARBATULLA,Rural,5,602,508,1110,Isiolo,EASTERN,15667
GARBATULLA,Rural,6,578,521,1099,Isiolo,EASTERN,15668
GARBATULLA,Rural,7,507,453,960,Isiolo,EASTERN,15669
GARBATULLA,Rural,8,595,580,1175,Isiolo,EASTERN,15670
GARBATULLA,Rural,9,388,377,765,Isiolo,EASTERN,15671
GARBATULLA,Rural,10,635,601,1236,Isiolo,EASTERN,15672
GARBATULLA,Rural,11,291,297,588,Isiolo,EASTERN,15673
GARBATULLA,Rural,12,623,525,1148,Isiolo,EASTERN,15674
GARBATULLA,Rural,13,476,379,855,Isiolo,EASTERN,15675
GARBATULLA,Rural,14,445,405,850,Isiolo,EASTERN,15676
GARBATULLA,Rural,15,519,432,951,Isiolo,EASTERN,15677
GARBATULLA,Rural,16,448,392,840,Isiolo,EASTERN,15678
GARBATULLA,Rural,17,399,286,685,Isiolo,EASTERN,15679
GARBATULLA,Rural,18,631,428,1059,Isiolo,EASTERN,15680
GARBATULLA,Rural,19,265,215,480,Isiolo,EASTERN,15681
GARBATULLA,Rural,20,739,566,1305,Isiolo,EASTERN,15682
GARBATULLA,Rural,21,241,191,432,Isiolo,EASTERN,15683
GARBATULLA,Rural,22,372,278,650,Isiolo,EASTERN,15684
GARBATULLA,Rural,23,258,187,445,Isiolo,EASTERN,15685
GARBATULLA,Rural,24,246,205,451,Isiolo,EASTERN,15686
GARBATULLA,Rural,25,487,411,898,Isiolo,EASTERN,15687
GARBATULLA,Rural,26,251,182,433,Isiolo,EASTERN,15688
GARBATULLA,Rural,27,192,122,314,Isiolo,EASTERN,15689
GARBATULLA,Rural,28,290,255,545,Isiolo,EASTERN,15690
GARBATULLA,Rural,29,121,93,214,Isiolo,EASTERN,15691
GARBATULLA,Rural,30,619,453,1072,Isiolo,EASTERN,15692
GARBATULLA,Rural,31,113,99,212,Isiolo,EASTERN,15693
GARBATULLA,Rural,32,185,152,337,Isiolo,EASTERN,15694
GARBATULLA,Rural,33,115,67,182,Isiolo,EASTERN,15695
GARBATULLA,Rural,34,103,67,170,Isiolo,EASTERN,15696
GARBATULLA,Rural,35,311,277,588,Isiolo,EASTERN,15697
GARBATULLA,Rural,36,146,150,296,Isiolo,EASTERN,15698
GARBATULLA,Rural,37,82,62,144,Isiolo,EASTERN,15699
GARBATULLA,Rural,38,152,119,271,Isiolo,EASTERN,15700
GARBATULLA,Rural,39,61,62,123,Isiolo,EASTERN,15701
GARBATULLA,Rural,40,483,400,883,Isiolo,EASTERN,15702
GARBATULLA,Rural,41,58,34,92,Isiolo,EASTERN,15703
GARBATULLA,Rural,42,165,93,258,Isiolo,EASTERN,15704
GARBATULLA,Rural,43,80,44,124,Isiolo,EASTERN,15705
GARBATULLA,Rural,44,53,45,98,Isiolo,EASTERN,15706
GARBATULLA,Rural,45,214,196,410,Isiolo,EASTERN,15707
GARBATULLA,Rural,46,98,75,173,Isiolo,EASTERN,15708
GARBATULLA,Rural,47,70,53,123,Isiolo,EASTERN,15709
GARBATULLA,Rural,48,135,94,229,Isiolo,EASTERN,15710
GARBATULLA,Rural,49,66,42,108,Isiolo,EASTERN,15711
GARBATULLA,Rural,50,391,246,637,Isiolo,EASTERN,15712
GARBATULLA,Rural,51,59,28,87,Isiolo,EASTERN,15713
GARBATULLA,Rural,52,102,57,159,Isiolo,EASTERN,15714
GARBATULLA,Rural,53,60,57,117,Isiolo,EASTERN,15715
GARBATULLA,Rural,54,83,51,134,Isiolo,EASTERN,15716
GARBATULLA,Rural,55,121,65,186,Isiolo,EASTERN,15717
GARBATULLA,Rural,56,108,62,170,Isiolo,EASTERN,15718
GARBATULLA,Rural,57,64,31,95,Isiolo,EASTERN,15719
GARBATULLA,Rural,58,74,42,116,Isiolo,EASTERN,15720
GARBATULLA,Rural,59,33,16,49,Isiolo,EASTERN,15721
GARBATULLA,Rural,60,268,185,453,Isiolo,EASTERN,15722
GARBATULLA,Rural,61,23,15,38,Isiolo,EASTERN,15723
GARBATULLA,Rural,62,51,18,69,Isiolo,EASTERN,15724
GARBATULLA,Rural,63,43,23,66,Isiolo,EASTERN,15725
GARBATULLA,Rural,64,23,15,38,Isiolo,EASTERN,15726
GARBATULLA,Rural,65,70,49,119,Isiolo,EASTERN,15727
GARBATULLA,Rural,66,30,12,42,Isiolo,EASTERN,15728
GARBATULLA,Rural,67,40,12,52,Isiolo,EASTERN,15729
GARBATULLA,Rural,68,33,25,58,Isiolo,EASTERN,15730
GARBATULLA,Rural,69,23,19,42,Isiolo,EASTERN,15731
GARBATULLA,Rural,70,191,105,296,Isiolo,EASTERN,15732
GARBATULLA,Rural,71,11,15,26,Isiolo,EASTERN,15733
GARBATULLA,Rural,72,27,22,49,Isiolo,EASTERN,15734
GARBATULLA,Rural,73,23,23,46,Isiolo,EASTERN,15735
GARBATULLA,Rural,74,12,15,27,Isiolo,EASTERN,15736
GARBATULLA,Rural,75,35,21,56,Isiolo,EASTERN,15737
GARBATULLA,Rural,76,22,14,36,Isiolo,EASTERN,15738
GARBATULLA,Rural,77,17,6,23,Isiolo,EASTERN,15739
GARBATULLA,Rural,78,22,24,46,Isiolo,EASTERN,15740
GARBATULLA,Rural,79,5,8,13,Isiolo,EASTERN,15741
GARBATULLA,Rural,80+,195,206,401,Isiolo,EASTERN,15742
GARBATULLA,Rural,Age NS,9,2,11,Isiolo,EASTERN,15743
MERU CENTRAL,Rural,0,1784,1696,3480,Meru,EASTERN,15744
MERU CENTRAL,Rural,1,1657,1464,3121,Meru,EASTERN,15745
MERU CENTRAL,Rural,2,1718,1730,3448,Meru,EASTERN,15746
MERU CENTRAL,Rural,3,1693,1640,3333,Meru,EASTERN,15747
MERU CENTRAL,Rural,4,1691,1763,3454,Meru,EASTERN,15748
